ENTREZID	SYMBOL	TXCHROM
257630	Il17f	chr1
17215	Mcm3	chr1
77741	6720483E21Rik	chr1
74229	Paqr8	chr1
71877	Efhc1	chr1
170829	Tram2	chr1
75712	Tmem14a	chr1
14859	Gsta3	chr1
241041	Gm4956	chr1
368204	Khdc1a	chr1
433278	Khdc1c	chr1
98582	Khdc1b	chr1
226922	Kcnq5	chr1
116837	Rims1	chr1
66755	Ppp1r14bl	chr1
387225	Mir30a	chr1
723964	Mir30c-2	chr1
70155	Ogfrl1	chr1
100503399	Gm19673	NA
280645	B3gat2	chr1
98366	Smap1	chr1
68002	Sdhaf4	chr1
68187	Fam135a	chr1
12839	Col9a1	chr1
12823	Col19a1	chr1
68421	Lmbrd1	chr1
210933	Adgrb3	chr1
100504323	Gm20172	chr1
210940	4931408C20Rik	chr1
433281	Gm5524	chr1
665903	Gm7846	NA
210962	Gm597	chr1
623924	Gm6462	NA
791350	Gm9898	NA
213109	Phf3	chr1
19243	Ptp4a1	chr1
70988	4931428L18Rik	chr1
266744	Lgsn	chr1
74708	Dnaaf6	chr1
226957	Gm4850	NA
624262	Gm6489	NA
170771	Khdrbs2	chr1
408192	Gm9839	chr1
408191	Semp2l1	chr1
19076	Prim2	chr1
67503	1700001G17Rik	chr1
19335	Rab23	chr1
213539	Bag2	chr1
98403	Zfp451	chr1
433287	Gm15455	chr1
320705	Bend6	chr1
13518	Dst	chr1
100628580	Mir5103	chr1
69668	Ccdc115	chr1
27993	Imp4	chr1
52318	D1Ertd448e	NA
19253	Ptpn18	chr1
21755	Prss39	chr1
12627	Cfc1	chr1
21756	Prss40	chr1
211383	Amer3	chr1
241051	AA619741	chr1
226970	Arhgef4	chr1
214469	Fam168b	chr1
226971	Plekhb2	chr1
50785	Hs6st1	chr1
320011	Uggt1	chr1
214854	Neurl3	chr1
214855	Arid5a	chr1
226976	Kansl3	chr1
214895	Lman2l	chr1
94220	Cnnm4	chr1
94218	Cnnm3	chr1
78321	Ankrd23	chr1
109346	Ankrd39	chr1
20353	Sema4c	chr1
381337	Fam178b	chr1
12859	Cox5b	chr1
226977	Actr1b	chr1
71166	4933424G06Rik	chr1
22637	Zap70	chr1
56030	Tmem131	chr1
70853	Vwa3b	chr1
12790	Cnga3	chr1
269180	Inpp4a	chr1
76178	Coa5	chr1
67387	Unc50	chr1
269181	Mgat4a	chr1
77633	4930594C11Rik	chr1
100861893	NA	NA
72097	Cracdl	chr1
100503734	Gm19863	NA
211484	Tsga10	chr1
623661	Lipt1	chr1
69028	Mitd1	chr1
107734	Mrpl30	chr1
332427	Lyg2	chr1
69541	Lyg1	chr1
98258	Txndc9	chr1
226982	Eif5b	chr1
56210	Rev1	chr1
16764	Aff3	chr1
381338	Lonrf2	chr1
98388	Chst10	chr1
100503760	NA	NA
433292	Nms	chr1
68833	Pdcl3	chr1
18143	Npas2	chr1
114641	Rpl31	chr1
54610	Tbc1d8	chr1
52846	Cnot11	chr1
100217461	Snord89	chr1
67702	Rnf149	chr1
263764	Creg2	chr1
619289	Rfx8	chr1
100042065	Gm3646	chr1
73426	1700066B17Rik	chr1
26921	Map4k4	chr1
100047133	Gm16894	chr1
16178	Il1r2	chr1
16177	Il1r1	chr1
107527	Il1rl2	chr1
17082	Il1rl1	chr1
16182	Il18r1	chr1
16174	Il18rap	chr1
110895	Slc9a4	chr1
226999	Slc9a2	chr1
211798	Mfsd9	chr1
381339	Tmem182	chr1
74897	4930448I06Rik	chr1
66297	Pantr1	chr1
18993	Pou3f3	chr1
73100	2900092D14Rik	NA
69527	Mrps9	chr1
93690	Gpr45	chr1
73122	Tgfbrap1	chr1
98404	AI597479	chr1
14200	Fhl2	chr1
666642	Gm8210	NA
17974	Nck2	chr1
100861934	NA	NA
78896	Ecrg4	chr1
67883	Uxs1	chr1
100503192	NA	NA
22019	Tpp2	chr1
433294	Mettl21c	chr1
75623	Tex30	chr1
72050	Poglut2	chr1
246229	Bivm	chr1
22592	Ercc5	chr1
100861960	NA	NA
403183	Mettl21e	chr1
70676	Gulp1	chr1
75066	4930521E06Rik	chr1
12825	Col3a1	chr1
12832	Col5a2	chr1
73674	Wdr75	chr1
433297	Gm5526	NA
53945	Slc40a1	chr1
100042453	Gm3852	NA
212225	Stk-ps2	chr1
227058	Dnah7b	chr1
100101919	Dnah7c	chr1
227059	Slc39a10	chr1
442837	C230029F24Rik	chr1
56363	Tmeff2	chr1
442821	9330175M20Rik	chr1
20324	Cavin2	chr1
109019	Nabp1	chr1
100045066	Gm17767	chr1
17912	Myo1b	chr1
20849	Stat4	chr1
100042634	Gm3940	NA
20846	Stat1	chr1
14660	Gls	chr1
17936	Nab1	chr1
227094	Nemp2	chr1
98682	Mfsd6	chr1
16329	Inpp1	chr1
227095	Hibch	chr1
67080	1700019D03Rik	chr1
17700	Mstn	chr1
69397	1700019A02Rik	chr1
227099	Pms1	chr1
227102	Ormdl1	chr1
72085	Osgepl1	chr1
70396	Asnsd1	chr1
627872	Dnah7a	chr1
98267	Stk17b	chr1
329152	Hecw2	chr1
78016	Ccdc150	chr1
98488	Gtf3c3	chr1
241062	Pgap1	chr1
329154	Ankrd44	chr1
81898	Sf3b1	chr1
67876	Coq10b	chr1
15510	Hspd1	chr1
15528	Hspe1	chr1
19070	Mob4	chr1
74013	Rftn2	chr1
212679	Mars2	chr1
75388	Boll	chr1
227120	Plcl1	chr1
626009	Gm6644	chr6
329159	9130227L01Rik	chr1
71066	Hsfy2	chr1
212712	Satb2	chr1
329160	9130024F11Rik	chr1
407809	BC055402	chr1
75323	4930558J18Rik	chr1
73467	1700066M21Rik	chr1
68736	Tyw5	chr1
68115	Maip1	chr1
67198	Spats2l	chr1
51960	Kctd18	chr1
68549	Sgo2a	chr1
11761	Aox1	chr1
71724	Aox3	chr1
71872	Aox4	chr1
213043	Aox2	chr1
66882	Bzw1	chr1
12747	Clk1	chr1
70225	Ppil3	chr1
65102	Nif3l1	chr1
18393	Orc2	chr1
100504455	Gm15834	NA
213056	Fam126b	chr1
66495	Ndufb3	chr1
100504501	Gm20257	chr1
108812	Flacc1	chr1
12633	Cflar	chr1
12370	Casp8	chr1
70827	Trak2	chr1
227154	Stradb	chr1
73463	C2cd6	chr1
381259	Tmem237	chr1
227157	Mpp4	chr1
74018	Als2	chr1
271697	Cdk15	chr1
14369	Fzd7	chr1
381260	Gm973	chr1
22218	Sumo1	chr1
55989	Nop58	chr1
100217459	Snord70	chr1
100217421	Snord11	chr1
12168	Bmpr2	chr1
100504533	NA	NA
72750	Fam117b	chr1
70375	Ica1l	chr1
57750	Wdr12	chr1
241066	Carf	chr1
100504573	Gm15464	NA
269198	Nbeal1	chr1
77951	Cyp20a1	chr1
329165	Abi2	chr1
77300	Raph1	chr1
100043027	NA	NA
100042533	Gm11578	NA
12487	Cd28	chr1
100504618	Gm11579	NA
12477	Ctla4	chr1
54167	Icos	chr1
77341	9530026F06Rik	chr1
72823	Pard3b	chr1
18187	Nrp2	chr1
74992	4930487H11Rik	NA
227195	Ino80d	chr1
100380944	Ino80dos	chr1
100504668	Gm20342	NA
227197	Ndufs1	chr1
55949	Eef1b2	chr1
100217464	Snora41	chr1
241070	Gpr1	chr1
73884	Zdbf2	chr1
23792	Adam23	chr1
241073	Dytn	chr1
76668	Mdh1b	chr1
75619	Fastkd2	chr1
74426	4933402D24Rik	chr1
433315	Gm13749	chr1
93691	Klf7	chr1
12912	Creb1	chr1
67099	Mettl21a	chr1
69941	2810408I11Rik	chr1
227210	Ccnyl1	chr1
14367	Fzd5	chr1
241075	Plekhm3	chr1
70861	Akr1cl	chr1
667276	Gm8550	NA
12968	Cryge	chr1
12967	Crygd	chr1
12966	Crygc	chr1
12965	Crygb	chr1
12964	Cryga	chr1
98303	D630023F18Rik	chr1
15926	Idh1	chr1
18711	Pikfyve	chr1
213527	Pth2r	chr1
12969	Crygf	chr1
17756	Map2	chr1
100038569	Gm10558	NA
329178	Unc80	chr1
66646	Rpe	chr1
68691	Kansl1l	chr1
11363	Acadl	chr1
100862127	NA	NA
17901	Myl1	chr1
14768	Lancl1	chr1
227231	Cps1	chr1
13869	Erbb4	chr1
100502712	Gm19335	NA
22779	Ikzf2	chr1
66722	Spag16	chr1
320460	Vwc2l	chr1
12021	Bard1	chr1
74591	Abca12	chr1
108147	Atic	chr1
14268	Fn1	chr1
100042814	Apol7d	chr1
667931	Gm8883	chr1
71134	4933417E11Rik	chr1
433319	Gm5528	NA
381269	Mreg	chr1
111175	Pecr	chr1
271711	Tmem169	chr1
22596	Xrcc5	chr1
381270	Marchf4	chr1
54380	Smarcal1	chr1
319695	Ankar	chr1
19981	Rpl37a	chr1
16008	Igfbp2	chr1
16011	Igfbp5	chr1
21958	Tnp1	chr1
69449	1700027A15Rik	chr1
723792	Pinc	chr1
78718	D530049I02Rik	chr1
109198	6030407O03Rik	chr1
21961	Tns1	chr1
435626	Rufy4	chr1
100862357	NA	NA
12765	Cxcr2	chr1
227288	Cxcr1	chr1
100316687	Mir1928	chr1
76709	Arpc2	chr1
227289	Gpbar1	chr1
227290	Aamp	chr1
56695	Pnkd	chr1
69660	Tmbim1	chr1
241112	Catip	chr1
18173	Slc11a1	chr1
227292	Ctdsp1	chr1
387219	Mir26b	chr1
22349	Vil1	chr1
319651	Usp37	chr1
58184	Cnot9	chr1
18802	Plcd4	chr1
77264	Zfp142	chr1
66821	Bcs1l	chr1
57751	Rnf25	chr1
269209	Stk36	chr1
67534	Ttll4	chr1
104086	Cyp27a1	chr1
241113	Prkag3	chr1
22420	Wnt6	chr1
22409	Wnt10a	chr1
12570	Cdk5r2	chr1
260298	Fev	chr1
12958	Cryba2	chr1
723900	Mir375	chr1
241116	Cfap65	chr1
16147	Ihh	chr1
75570	Nhej1	chr1
22626	Slc23a3	chr1
69171	Cnppd1	chr1
227298	Retreg2	chr1
68818	Zfand2b	chr1
74104	Abcb6	chr1
245860	Atg9a	chr1
52231	Ankzf1	chr1
74577	Glb1l	chr1
20872	Stk16	chr1
22145	Tuba4a	chr1
381272	A630095N17Rik	chr1
56812	Dnajb2	chr1
19275	Ptprn	chr1
19711	Resp18	chr1
13437	Dnpep	chr1
13346	Des	chr1
100503248	Gm15179	chr1
11790	Speg	chr1
69080	Gmppa	chr1
100862164	NA	NA
241118	Asic4	chr1
74241	Chpf	chr1
319998	Tmem198	chr1
98733	Obsl1	chr1
16322	Inha	chr1
71728	Stk11ip	chr1
20536	Slc4a3	chr1
100862333	NA	NA
620079	Gm17751	chr1
13838	Epha4	chr1
18505	Pax3	chr1
100039210	Gm2102	NA
433323	Sgpp2	chr1
23874	Farsb	chr1
68393	Mogat1	chr1
74205	Acsl3	chr1
195434	Utp14b	chr1
57814	Kcne4	chr1
20254	Scg2	chr1
100862182	NA	NA
252903	Ap1s3	chr1
69368	Wdfy1	chr1
100038695	Gm10555	NA
69163	Mrpl44	chr1
100862198	NA	NA
20720	Serpine2	chr1
241128	Fam124b	chr1
26554	Cul3	chr1
72208	1700016L21Rik	chr1
210293	Dock10	chr1
241134	Nyap2	chr1
16367	Irs1	chr1
100503073	Gm19537	NA
76867	Rhbdd1	chr1
100503095	Gm19552	NA
12829	Col4a4	chr1
12828	Col4a3	chr1
75734	Mff	chr1
66261	Tm4sf20	chr1
100044526	Gm17764	NA
15463	Agfg1	chr1
80721	Slc19a3	chr1
71386	Krtap28-13	chr1
20297	Ccl20	chr1
71227	Daw1	chr1
77629	Sphkap	chr1
98496	Pid1	chr1
227325	Dner	chr1
100628595	Mir5126	chr1
14897	Trip12	chr1
66153	Fbxo36	chr1
71781	Slc16a14	chr1
100503433	Gm15433	NA
381287	A530032D15Rik	chr1
621875	A530040E14Rik	NA
100040135	NA	NA
665378	Gm7609	chr1
620078	C130026I21Rik	chr1
100040213	Gm2666	NA
100039794	Gm2427	NA
665338	NA	NA
109032	Sp110	chr1
434484	Sp140	chr1
100503502	Gm10552	NA
100503045	NA	NA
20684	Sp100	chr1
319997	A630001G21Rik	chr1
12283	Cab39	chr1
64294	Itm2c	chr1
71141	4933407L21Rik	chr1
227326	Gpr55	chr1
70060	Spata3	chr1
72792	2810459M11Rik	chr1
70247	Psmd1	chr1
15559	Htr2b	chr1
78795	Armc9	chr1
100861644	NA	NA
227327	B3gnt7	chr1
383538	Gm5258	NA
17975	Ncl	chr1
100303740	Snora75	chr1
80828	Snord82	chr1
319336	C130036L24Rik	chr1
14767	Nmur1	chr1
71863	Tex44	chr1
19231	Ptma	chr1
18582	Pde6d	chr1
26895	Cops7b	chr1
18159	Nppc	chr1
208718	Dis3l2	chr1
11650	Alppl2	chr1
76768	Alpi	chr1
11648	Akp3	chr1
13599	Ecel1	chr1
69453	Prss56	chr1
11447	Chrnd	chr1
11449	Chrng	chr1
26987	Eif4e2	chr1
98363	Efhd1	chr1
227331	Gigyf2	chr1
100040591	Kcnj13	chr1
73234	Snorc	chr1
53972	Ngef	chr1
319977	A530079E22Rik	NA
620454	Gm6153	NA
23956	Neu2	chr1
16331	Inpp5d	chr1
77040	Atg16l1	chr1
100217415	Scarna6	chr1
20215	Sag	chr1
100503175	Gm19582	chr1
227333	Dgkd	chr1
227334	Usp40	chr1
394430	Ugt1a10	chr1
394434	Ugt1a9	chr1
394432	Ugt1a7c	chr1
394435	Ugt1a6b	chr1
94284	Ugt1a6a	chr1
394433	Ugt1a5	chr1
22236	Ugt1a2	chr1
15504	Dnajb3	chr1
394436	Ugt1a1	chr1
100040766	Mroh2a	chr1
381280	Hjurp	chr1
78605	6430706D22Rik	NA
171382	Trpm8	chr1
75396	Spp2	chr1
14659	Glrp1	chr1
100503197	Gm19589	chr1
320982	Arl4c	chr1
78650	Platr5	chr1
73475	1700067G17Rik	chr1
98402	Sh3bp4	chr1
77331	C030007H22Rik	chr1
347722	Agap1	chr1
74403	4933400F21Rik	chr1
14472	Gbx2	chr1
208372	Asb18	chr1
74918	Iqca	chr1
12778	Ackr3	chr1
108679	Cops8	chr1
433332	Gm9991	NA
12835	Col6a3	chr1
171531	Mlph	chr1
623503	Prlh	chr1
19329	Rab17	chr1
16978	Lrrfip1	chr1
329207	Rbm44	chr1
51801	Ramp1	chr1
67921	Ube2f	chr1
665783	NA	NA
50880	Scly	chr1
227357	Espnl	chr1
100503326	NA	NA
70788	Klhl30	chr1
227358	Erfe	chr1
67444	Ilkap	chr1
67086	1700020N18Rik	chr1
55927	Hes6	chr1
18627	Per2	chr1
74019	Traf3ip1	chr1
65247	Asb1	chr1
13345	Twist2	chr1
208727	Hdac4	chr1
67273	Ndufa10	chr1
259040	Olfr1416	chr1
258228	Olfr1415	chr1
259041	Olfr1414	chr1
259039	Olfr1413	chr1
258274	Olfr1412	chr1
258483	Olfr1411	chr1
258484	Olfr1410	NA
257890	Olfr12	chr1
66915	Cops9	chr1
260301	Otos	chr1
14733	Gpc1	chr1
100504295	NA	NA
387167	Mir149	chr1
241158	Ankmy1	chr1
67446	Dusp28	chr1
108657	Rnpepl1	chr1
100037260	9430060I03Rik	chr1
23830	Capn10	chr1
64095	Gpr35	chr1
208760	Aqp12	chr1
16560	Kif1a	chr1
11611	Agxt	chr1
71874	Mab21l4	chr1
381284	Crocc2	chr1
208777	Sned1	chr1
69821	Mterf4	chr1
269224	Pask	chr1
66385	Ppp1r7	chr1
404545	Ano7	chr1
110611	Hdlbp	chr1
18000	Septin2	chr1
227377	Farp2	chr1
59041	Stk25	chr1
51800	Bok	chr1
67026	Thap4	chr1
66615	Atg4b	chr1
21915	Dtymk	chr1
66262	Ing5	chr1
98314	D2hgdh	chr1
381334	Gal3st2	chr1
100041596	Gal3st2b	chr1
666009	Gm7889	NA
619597	Gal3st2c	chr1
241159	Neu4	chr1
18566	Pdcd1	chr1
74689	4930440C22Rik	chr1
67698	Fam174a	chr1
20452	St8sia4	chr1
75381	4930598F16Rik	chr1
100504401	NA	NA
73454	1700063A18Rik	chr1
75159	4930533P14Rik	chr1
227394	Slco4c1	chr1
329217	Panct2	chr1
67854	Slco6b1	chr1
74441	Slco6c1	chr1
634331	Gm7133	NA
634346	Gm7135	NA
52392	Macir	chr1
227399	Ppip5k2	chr1
252876	Gin1	chr1
18484	Pam	chr1
78603	B230216N24Rik	chr1
69030	1810006J02Rik	chr1
70866	Slco6d1	chr1
100504494	NA	NA
241175	Cntnap5b	chr1
100504525	Gm20268	chr1
23836	Cdh20	chr1
320311	Rnf152	chr1
100504568	Gm17634	chr1
27392	Pign	chr1
227446	Relch	chr1
100042023	Gm10193	NA
21934	Tnfrsf11a	chr1
635504	Gm7160	chr1
227449	Zcchc2	chr1
626049	Gm20753	chr1
98432	Phlpp1	chr1
12043	Bcl2	chr1
320761	D630008O14Rik	NA
70750	Kdsr	chr1
20479	Vps4b	chr1
20724	Serpinb5	chr1
71869	Serpinb12	chr1
241196	Serpinb13	chr1
20248	Serpinb3a	chr1
394252	Serpinb3d	chr1
383548	Serpinb3b	chr1
381286	Serpinb3c	chr1
66957	Serpinb11	chr1
116872	Serpinb7	chr1
18788	Serpinb2	chr1
241197	Serpinb10	chr1
20725	Serpinb8	chr1
241201	Cdh7	chr1
227485	Cdh19	chr1
319901	Dsel	chr1
636808	Cntnap5a	chr1
634762	Gm7145	NA
22099	Tsn	chr1
67949	Nifk	chr1
76707	Clasp1	chr1
68204	2900060B14Rik	chr1
81879	Tfcp2l1	chr1
14633	Gli2	chr1
16324	Inhbb	chr1
100502628	Gm19295	NA
64143	Ralb	chr1
226351	Tmem185b	chr1
226352	Epb41l5	chr1
19258	Ptpn4	chr1
66343	Tmem177	chr1
226356	Cfap221	chr1
319229	Sctr	chr1
170706	Tmem37	chr1
13167	Dbi	chr1
73103	3110009E18Rik	chr1
68428	Steap3	chr1
226359	C1ql2	chr1
17167	Marco	chr1
13798	En1	chr1
98452	Celrr	chr1
72999	Insig2	chr1
70829	Ccdc93	chr1
15564	Htr5b	chr1
66942	Ddx18	chr1
100502702	NA	NA
269109	Dpp10	chr1
74117	Actr3	chr1
74150	Slc35f5	chr1
71111	Gpr39	chr1
72585	Lypd1	chr1
210356	Nckap5	chr1
107895	Mgat5	chr1
667090	Gm8451	NA
72160	Tmem163	chr1
266645	Acmsd	chr1
100502745	2900009J06Rik	chr1
72949	Ccnt2	chr1
22625	Map3k19	chr1
226407	Rab3gap1	chr1
226409	Zranb3	chr1
226412	R3hdm1	chr1
387147	Mir128-1	chr1
67812	Ubxn4	chr1
226413	Lct	chr1
17219	Mcm6	chr1
226414	Dars	chr1
12767	Cxcr4	chr1
210417	Thsd7b	chr1
100042740	Rpl31-ps9	NA
13137	Cd55b	chr1
13136	Cd55	chr1
22789	Zp3r	chr1
12269	C4bp	chr1
12270	C4bp-ps1	chr1
18640	Pfkfb2	chr1
226418	Yod1	chr1
212439	AA986860	chr1
64435	Fcamr	chr1
100502856	NA	NA
18703	Pigr	chr1
69169	Fcmr	chr1
93672	Il24	chr1
58181	Il20	chr1
329244	Il19	chr1
16153	Il10	chr1
17164	Mapkapk2	chr1
226419	Dyrk3	chr1
16865	Eif2d	chr1
54354	Rassf5	chr1
56489	Ikbke	chr1
14270	Srgap2	chr1
108900	Fam72a	chr1
26361	Avpr1b	chr1
13034	Ctse	chr1
226421	Rab7b	chr1
320718	Slc26a9	chr1
212933	Pm20d1	chr1
98396	Slc41a1	chr1
226422	Rab29	chr1
98415	Nucks1	chr1
212980	Slc45a3	chr1
13714	Elk4	chr1
213006	Mfsd4a	chr1
18557	Cdk18	chr1
723818	Mir135b	chr1
213409	Lemd1	chr1
213417	Klhdc8a	chr1
74137	Nuak2	chr1
68875	Tmcc2	chr1
213452	Dstyk	chr1
213464	Rbbp5	chr1
74626	Tmem81	chr1
21367	Cntn2	chr1
269116	Nfasc	chr1
100038653	Gm10538	chr1
16980	Lrrn2	chr1
17248	Mdm4	chr1
240752	Pik3c2b	chr1
108954	Ppp1r15b	chr1
240753	Plekha6	chr1
100502933	Gm19461	chr1
68338	Golt1a	chr1
280287	Kiss1	chr1
19701	Ren1	chr1
214253	Etnk2	chr1
20668	Sox13	chr1
20643	Snrpe	chr1
70579	Zc3h11a	chr1
667118	Zbed6	chr1
240754	Lax1	chr1
381290	Atp2b4	chr1
269120	Optc	chr1
116847	Prelp	chr1
100502984	NA	NA
14264	Fmod	chr1
100502999	NA	NA
12227	Btg2	chr1
667414	Gm8618	NA
71884	Chit1	chr1
12654	Chil1	chr1
53311	Mybph	chr1
11539	Adora1	chr1
17928	Myog	chr1
68507	Ppfia4	chr1
57439	Tmem183a	chr1
240755	Mgat4f	chr1
72017	Cyb5r1	chr1
72674	Adipor1	chr1
100861791	NA	NA
240756	Klhl12	chr1
98710	Rabif	chr1
100503055	NA	NA
71001	Mgat4e	chr1
75605	Kdm5b	chr1
20980	Syt2	chr1
329251	Ppp1r12b	chr1
67196	Ube2t	chr1
329252	Lgr6	chr1
13924	Ptprv	chr1
100038590	Gm10535	NA
320139	Ptpn7	chr1
68724	Arl8a	chr1
171469	Gpr37l1	chr1
13710	Elf3	chr1
215615	Rnpep	chr1
21854	Timm17a	chr1
93689	Lmod1	chr1
77552	Shisa4	chr1
226432	Ipo9	chr1
215690	Nav1	chr1
13007	Csrp1	chr1
27280	Phlda3	chr1
21952	Tnni1	chr1
16763	Lad1	chr1
21956	Tnnt2	chr1
18772	Pkp1	chr1
226438	Igfn1	chr1
66241	Tmem9	chr1
12292	Cacna1s	chr1
329253	Gm15850	chr1
16565	Kif21b	chr1
76422	Mroh3	chr1
67313	Inava	chr1
100042513	Gm3878	NA
383563	Gpr25	chr1
67886	Camsap2	chr1
320054	9230116N13Rik	chr1
67997	Ddx59	chr1
381293	Kif14	chr1
71084	4933409D19Rik	NA
226442	Zfp281	chr1
100503460	Gm19705	chr1
100503474	Platr22	chr1
667686	Gm8762	NA
26424	Nr5a2	chr1
320138	A130050O07Rik	NA
735252	Mir181a-1	chr1
723890	Mir181b-1	chr1
19264	Ptprc	chr1
338375	Atp6v1g3	chr1
59125	Nek7	chr1
545363	Gm5833	chr1
16876	Lhx9	chr1
69549	2310009B15Rik	chr1
75546	1700019P21Rik	chr1
329260	Dennd1b	chr1
170788	Crb1	chr1
71209	4933436E23Rik	chr1
226470	Zbtb41	chr1
12316	Aspm	chr1
14060	F13b	chr1
50702	Cfhr1	chr1
624286	Cfhr3	NA
214403	Cfhr4	chr1
545366	Cfhr2	chr1
12628	Cfh	chr1
240776	Kcnt2	chr1
75910	4930590L20Rik	chr1
226472	Gm4845	NA
214498	Cdc73	chr1
26878	B3galt2	chr1
69367	Glrx2	chr1
20822	Ro60	chr1
56207	Uchl5	chr1
19735	Rgs2	chr1
100861894	NA	NA
246709	Rgs13	chr1
50778	Rgs1	chr1
624910	Rgs21	chr1
64214	Rgs18	chr1
215378	Brinp3	chr1
100043240	Gm15583	NA
791353	Gm9931	NA
100503781	NA	NA
18783	Pla2g4a	chr1
320019	Ptgs2os	chr1
19225	Ptgs2	chr1
100043257	Rbm3-ps	NA
100043261	NA	NA
20028	Pdc	chr1
75584	2310030A07Rik	chr1
226499	Odr4	chr1
108989	Tpr	chr1
96875	Prg4	chr1
545370	Hmcn1	chr1
402734	C730036E19Rik	chr1
73176	3110040M04Rik	NA
117198	Ivns1abp	chr1
66875	Swt1	chr1
98685	Trmt1l	chr1
19821	Rnf2	chr1
100503012	NA	NA
63913	Niban1	chr1
66967	Edem3	chr1
69399	1700025G04Rik	chr1
66637	Tsen15	chr1
269132	Colgalt2	chr1
19731	Rgl1	chr1
100861876	NA	NA
71281	Apobec4	chr1
67771	Arpc5	chr1
100503084	NA	NA
17970	Ncf2	chr1
226517	Smg7	chr1
226518	Nmnat2	chr1
16782	Lamc2	chr1
226519	Lamc1	chr1
626058	E330020D12Rik	chr1
71836	Shcbp1l	chr1
13211	Dhx9	chr1
74091	Npl	chr1
67792	Rgs8	chr1
329271	C230024C17Rik	chr1
19734	Rgs16	chr1
24014	Rnasel	chr1
240816	Rgsl1	chr1
240817	Teddm2	chr1
433365	Teddm1b	chr1
240819	Teddm1a	chr1
14645	Glul	chr1
100861882	NA	NA
207678	NA	NA
78112	4930452N14Rik	chr1
12290	Cacna1e	chr1
15939	Ier5	chr1
15064	Mr1	chr1
58244	Stx6	chr1
207792	BC034090	chr1
100503411	NA	NA
19775	Xpr1	chr1
433367	Gm5532	chr1
72482	Acbd6	chr1
16872	Lhx4	chr1
100861926	NA	NA
104009	Qsox1	chr1
74081	Cep350	chr1
208263	Tor1aip1	chr1
240832	Tor1aip2	chr1
329274	Fam163a	chr1
214575	Tdrd5	chr1
170484	Nphs2	chr1
77352	Axdnd1	chr1
20652	Soat1	chr1
11352	Abl2	chr1
30935	Tor3a	chr1
100503836	Gm19918	NA
215015	Fam20b	chr1
78255	Ralgps2	chr1
72713	Angptl1	chr1
73435	Tex35	chr1
226525	Rasal2	chr1
69953	2810025M15Rik	chr1
226527	Cryzl2	chr1
89867	Sec16b	chr1
100504090	NA	NA
240843	Brinp2	chr1
11899	Astn1	chr1
735253	Mir488	chr1
23850	Pappa2	chr1
72025	1600012P17Rik	chr1
26374	Cop1	chr1
100217414	Scarna3a	chr1
21960	Tnr	chr1
67647	4930523C07Rik	chr1
75255	4930562F07Rik	chr1
329278	Tnn	chr1
64659	Mrps14	chr1
12301	Cacybp	chr1
29809	Rabgap1l	chr1
100316784	Mir1927	chr1
620246	Gpr52	NA
620750	Gm6177	NA
381305	Rc3h1	chr1
11905	Serpinc1	chr1
240869	Zbtb37	chr1
14455	Gas5	chr1
100628588	NA	NA
100217446	Snord47	chr1
226539	Dars2	chr1
70454	Cenpl	chr1
226541	Klhl20	chr1
73844	Ankrd45	chr1
100502590	Tex50	chr1
